epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.747,1.22968,1.69351,1.01556,0.95573,0.36861,0.82742,0.5209,1.22941,2.24741,0.98298,0.000647059,0.000647059,0.000647059
2,398.934,1.18384,0.99577,1.0263,0.47328,0.52648,0.45029,0.29574,1.19448,2.0111,1.04314,0.00118367,0.00118367,0.00118367
3,595.739,1.13401,0.89602,1.00671,0.68434,0.76121,0.74291,0.499,1.14194,1.29885,1.01419,0.00158827,0.00158827,0.00158827
4,785.376,1.12735,0.84718,1.01315,0.83234,0.85806,0.89792,0.62653,1.10187,0.97085,1.00175,0.001406,0.001406,0.001406
5,989.366,1.09816,0.82034,1.00399,0.86556,0.90697,0.93653,0.65642,1.0843,0.80001,1.0039,0.001208,0.001208,0.001208
6,1211.15,1.04881,0.73955,0.98182,0.87174,0.90502,0.94745,0.67933,1.0452,0.73685,0.98678,0.00101,0.00101,0.00101
7,1447.38,1.03239,0.70582,0.96678,0.87785,0.92041,0.95282,0.67552,1.05445,0.71847,0.99294,0.000812,0.000812,0.000812
8,1670.11,1.03125,0.67282,0.97176,0.90221,0.92102,0.96506,0.68672,1.04111,0.67485,0.98796,0.000614,0.000614,0.000614
9,1882.51,1.00814,0.63544,0.96296,0.90728,0.92945,0.97078,0.6928,1.04848,0.6367,0.98311,0.000416,0.000416,0.000416
10,2068.95,0.99755,0.62803,0.94927,0.88782,0.93754,0.9728,0.70955,1.00477,0.60953,0.96764,0.000218,0.000218,0.000218
